CUSTOMER_SK,GEOGRAPHIC_ID,POLICY_ID,PURCHASE_DATE,INSURANCE_PRODUCT,COVERAGE_AMOUNT,PREMIUM_AMOUNT
1,IN-14,G,20180101,policy1,415560,3048
2,IN-11,B,20180101,policy1,69971,2882
3,IN-31,B,20180101,policy4,153598,685
3,IN-31,B,20180101,policy4,153598,685
3,IN-31,B,20180101,policy4,153598,685
3,IN-31,B,20180101,policy4,153598,685
3,IN-31,B,20180101,policy4,153598,685
4,IN-18,G,20180101,policy2,383312,3494
5,IN-15,F,20180101,policy2,801346,1077
5,IN-15,F,20180101,policy2,801346,1077
6,IN-28,G,20180101,policy1,840123,4689
6,IN-28,G,20180101,policy1,840123,4689
7,IN-21,G,20180101,policy3,494351,3538
7,IN-21,G,20180101,policy3,494351,3538
8,IN-19,B,20180101,policy2,134244,3150
8,IN-19,B,20180101,policy2,134244,3150
9,IN-5,G,20180101,policy1,299829,2943
10,IN-4,G,20180101,policy3,543585,1926
10,IN-4,G,20180101,policy3,543585,1926
11,IN-18,B,20180101,policy3,178257,3625
11,IN-18,B,20180101,policy3,178257,3625
11,IN-18,B,20180101,policy3,178257,3625
12,IN-19,F,20180101,policy1,293649,674
12,IN-19,F,20180101,policy1,293649,674
13,IN-11,I,20180101,policy2,959654,4564
13,IN-11,I,20180101,policy2,959654,4564
14,IN-15,G,20180101,policy2,129171,2780
15,IN-33,F,20180101,policy3,772708,1186
15,IN-33,F,20180101,policy3,772708,1186
16,IN-21,B,20180101,policy2,297376,4536
17,IN-22,F,20180101,policy2,426453,3764
18,IN-22,G,20180101,policy2,563159,4547
18,IN-22,G,20180101,policy2,563159,4547
19,IN-9,B,20180101,policy5,59827,2404
19,IN-9,B,20180101,policy5,59827,2404
20,IN-4,B,20180101,policy2,611740,4851
21,IN-29,F,20180101,policy2,210139,1772
21,IN-29,F,20180101,policy2,210139,1772
22,IN-35,I,20180101,policy5,967610,2584
23,IN-16,G,20180101,policy3,401887,4427
24,IN-35,B,20180101,policy2,266529,2577
25,IN-27,B,20180101,policy5,482344,3696
25,IN-27,B,20180101,policy5,482344,3696
26,IN-9,G,20180101,policy1,940843,3501
26,IN-9,G,20180101,policy1,940843,3501
27,IN-1,F,20180102,policy2,112495,4382
28,IN-26,G,20180102,policy4,925402,596
28,IN-26,G,20180102,policy4,925402,596
29,IN-34,G,20180102,policy2,77497,1059
30,IN-3,G,20180102,policy3,885639,2349
31,IN-32,B,20180102,policy5,964680,1277
32,IN-28,F,20180102,policy1,295100,4340
32,IN-28,F,20180102,policy1,295100,4340
33,IN-13,B,20180102,policy3,696828,1072
34,IN-14,G,20180102,policy1,806021,1619
35,IN-34,B,20180102,policy2,539544,3049
35,IN-34,B,20180102,policy2,539544,3049
35,IN-34,B,20180102,policy2,539544,3049
36,IN-21,G,20180102,policy5,73926,4080
36,IN-21,G,20180102,policy5,73926,4080
36,IN-21,G,20180102,policy5,73926,4080
37,IN-9,I,20180102,policy2,609236,4351
38,IN-29,B,20180102,policy5,575631,1058
38,IN-29,B,20180102,policy5,575631,1058
39,IN-26,B,20180102,policy4,817149,4513
40,IN-3,G,20180102,policy5,171956,3984
41,IN-14,I,20180102,policy3,603571,3016
41,IN-14,I,20180102,policy3,603571,3016
41,IN-14,I,20180102,policy3,603571,3016
42,IN-5,G,20180102,policy2,76735,742
43,IN-15,F,20180102,policy3,705120,4799
44,IN-12,B,20180102,policy5,970106,3796
44,IN-12,B,20180102,policy5,970106,3796
45,IN-29,G,20180102,policy3,966426,1090
45,IN-29,G,20180102,policy3,966426,1090
46,IN-29,G,20180102,policy3,963300,4314
47,IN-25,B,20180102,policy1,593571,3138
48,IN-7,B,20180102,policy1,501282,4512
49,IN-24,G,20180102,policy3,263935,4352
49,IN-24,G,20180102,policy3,263935,4352
49,IN-24,G,20180102,policy3,263935,4352
49,IN-24,G,20180102,policy3,263935,4352
49,IN-24,G,20180102,policy3,263935,4352
50,IN-1,G,20180102,policy2,158094,1275
50,IN-1,G,20180102,policy2,158094,1275
50,IN-1,G,20180102,policy2,158094,1275
51,IN-33,I,20180102,policy3,767152,4512
51,IN-33,I,20180102,policy3,767152,4512
52,IN-30,G,20180102,policy1,750442,1663
53,IN-34,I,20180102,policy5,470667,4661
53,IN-34,I,20180102,policy5,470667,4661
54,IN-11,B,20180103,policy3,201846,3568
54,IN-11,B,20180103,policy3,201846,3568
54,IN-11,B,20180103,policy3,201846,3568
55,IN-23,G,20180103,policy5,827448,2569
56,IN-9,F,20180103,policy1,86821,2827
57,IN-30,B,20180103,policy1,770218,2971
58,IN-24,F,20180103,policy2,391721,4076
58,IN-24,F,20180103,policy2,391721,4076
59,IN-16,F,20180103,policy2,91755,4344
59,IN-16,F,20180103,policy2,91755,4344
60,IN-30,B,20180103,policy5,84392,3758
60,IN-30,B,20180103,policy5,84392,3758
61,IN-7,G,20180103,policy5,673704,1063
61,IN-7,G,20180103,policy5,673704,1063
62,IN-32,F,20180103,policy1,273930,3182
62,IN-32,F,20180103,policy1,273930,3182
63,IN-23,F,20180103,policy1,395567,4475
64,IN-15,I,20180103,policy5,341015,2198
64,IN-15,I,20180103,policy5,341015,2198
65,IN-3,G,20180103,policy1,928451,4719
66,IN-30,G,20180103,policy3,250758,1842
66,IN-30,G,20180103,policy3,250758,1842
67,IN-8,F,20180103,policy1,902385,2066
68,IN-23,I,20180103,policy5,196552,1768
68,IN-23,I,20180103,policy5,196552,1768
68,IN-23,I,20180103,policy5,196552,1768
69,IN-4,B,20180103,policy1,224828,721
69,IN-4,B,20180103,policy1,224828,721
70,IN-7,B,20180103,policy4,667643,673
70,IN-7,B,20180103,policy4,667643,673
71,IN-22,I,20180103,policy1,626109,3430
72,IN-29,F,20180103,policy3,250043,3040
73,IN-26,I,20180103,policy2,165719,1704
73,IN-26,I,20180103,policy2,165719,1704
74,IN-3,G,20180103,policy2,497009,4438
74,IN-3,G,20180103,policy2,497009,4438
75,IN-35,F,20180103,policy2,751975,1975
76,IN-19,F,20180103,policy2,692970,3295
76,IN-19,F,20180103,policy2,692970,3295
77,IN-11,G,20180104,policy4,670334,4076
77,IN-11,G,20180104,policy4,670334,4076
77,IN-11,G,20180104,policy4,670334,4076
78,IN-12,I,20180104,policy4,622742,4898
78,IN-12,I,20180104,policy4,622742,4898
79,IN-34,G,20180104,policy5,476237,783
80,IN-7,B,20180104,policy2,707769,1300
80,IN-7,B,20180104,policy2,707769,1300
81,IN-3,B,20180104,policy1,66239,3068
82,IN-34,G,20180104,policy5,371433,4774
83,IN-20,G,20180104,policy1,357998,3463
83,IN-20,G,20180104,policy1,357998,3463
83,IN-20,G,20180104,policy1,357998,3463
84,IN-27,G,20180104,policy4,967848,4405
85,IN-14,F,20180104,policy5,799603,774
86,IN-32,I,20180104,policy2,82067,998
87,IN-17,G,20180104,policy2,221663,4648
88,IN-18,B,20180104,policy3,957024,1019
89,IN-29,F,20180104,policy3,818532,3519
90,IN-28,G,20180104,policy1,72279,4563
91,IN-35,F,20180104,policy4,475200,3946
91,IN-35,F,20180104,policy4,475200,3946
91,IN-35,F,20180104,policy4,475200,3946
92,IN-25,G,20180104,policy3,964362,1106
93,IN-33,B,20180105,policy2,452486,2793
94,IN-1,G,20180105,policy2,125143,2303
95,IN-29,G,20180105,policy1,327045,3154
95,IN-29,G,20180105,policy1,327045,3154
95,IN-29,G,20180105,policy1,327045,3154
96,IN-15,F,20180105,policy2,105730,2158
97,IN-31,B,20180105,policy1,953084,4542
98,IN-8,G,20180105,policy2,88100,4874
98,IN-8,G,20180105,policy2,88100,4874
99,IN-11,G,20180105,policy2,153526,1085
99,IN-11,G,20180105,policy2,153526,1085
100,IN-29,F,20180105,policy5,975998,2303
100,IN-29,F,20180105,policy5,975998,2303
101,IN-4,B,20180105,policy5,881274,4961
101,IN-4,B,20180105,policy5,881274,4961
101,IN-4,B,20180105,policy5,881274,4961
102,IN-4,B,20180105,policy5,651210,4037
102,IN-4,B,20180105,policy5,651210,4037
103,IN-19,F,20180105,policy2,553815,3782
104,IN-5,F,20180105,policy1,138715,3361
105,IN-7,I,20180105,policy2,547857,2100
106,IN-13,G,20180105,policy3,375898,4552
107,IN-30,G,20180105,policy2,563015,666
107,IN-30,G,20180105,policy2,563015,666
107,IN-30,G,20180105,policy2,563015,666
108,IN-7,G,20180105,policy3,489235,4477
109,IN-15,G,20180105,policy4,615337,4848
109,IN-15,G,20180105,policy4,615337,4848
110,IN-11,G,20180105,policy2,875542,4552
111,IN-1,G,20180105,policy2,493542,584
111,IN-1,G,20180105,policy2,493542,584
112,IN-33,G,20180105,policy5,146674,4376
113,IN-23,F,20180105,policy2,148956,3656
114,IN-9,F,20180105,policy1,111225,1635
115,IN-9,B,20180105,policy2,139005,2690
115,IN-9,B,20180105,policy2,139005,2690
116,IN-6,B,20180105,policy1,856175,3948
117,IN-35,B,20180106,policy3,930495,2258
117,IN-35,B,20180106,policy3,930495,2258
118,IN-8,G,20180106,policy1,693746,2114
118,IN-8,G,20180106,policy1,693746,2114
118,IN-8,G,20180106,policy1,693746,2114
119,IN-16,F,20180106,policy4,812404,2483
120,IN-35,B,20180106,policy1,172443,2506
121,IN-35,G,20180106,policy1,753274,3623
121,IN-35,G,20180106,policy1,753274,3623
122,IN-18,B,20180106,policy3,922908,4421
123,IN-4,G,20180106,policy1,468863,3457
124,IN-10,B,20180106,policy3,362417,4130
125,IN-27,I,20180106,policy1,195932,760
126,IN-22,F,20180106,policy4,189036,4245
126,IN-22,F,20180106,policy4,189036,4245
126,IN-22,F,20180106,policy4,189036,4245
127,IN-26,I,20180106,policy1,601330,709
127,IN-26,I,20180106,policy1,601330,709
